cycle,pedigree_IDs
44650,"146596041,146589525,146595810,146596436,146594376,146595333,146590329,146595340,146589538,146594358,146592953,146596150,146595239,146591622,146589447,146593463,146594766,146596939,146590607,146590174,146594235,146589382,146591055,146595715,146590351,146595762,146589964,146594616,146590500,146591956,146591649,146595355,146596468,146589585,146589504,146597229,146594597,146590877,146590989,146589889,146589894,146595485,146594397,146592676,146593287,146595396,146590376,146593072,146591280,146596090,146594140,146591239,146589221,146589315,146589759,146589873,146594393,146596431,146590460,146592138,146590641,146595737,146593205,146589547,146595489,146590224,146597129,146590541,146589337,146591872,146590968,146595282,146596883,146591914,146594089,146589950,146596981,146591426,146591261,146590779,146594391,146591469,146590764,146589872,146591987,146591554,146593104,146596044,146589858,146589617,146592419,146589852,146594252,146592806,146590827,146593084,146596850,146591139,146594532,146589699,146596942,146595308,146590365,146593936,146595964,146596706,146591043,146594227,146594651,146596678,146596624,146593212,146591823,146590993,146593278,146592875,146594755,146594793,146595938,146595080,146589462,146591723,146595643,146594326,146597096,146596785,146590396,146591477,146591208,146597110,146597222,146590498,146590012"
44655,"146607858,146608216,146608923,146607962,146610787,146612090,146610816,146610652,146613420,146609077,146613857,146610109,146612862,146609994,146608716,146608899,146608181,146609551,146611107,146609174,146613550,146610015,146609282,146611076,146613514,146609465,146612533,146610491,146610715,146608061,146612124,146609746,146612991,146609294,146609704,146610348,146611660,146608070,146609268,146609962,146609389,146612962,146608718,146609076,146608931,146609442,146609263,146612356,146609873,146611553,146609845,146609930,146610252,146610613,146608988,146608321,146613715,146609243,146609692,146613542,146609404,146609367,146609605,146608600,146609224,146612693,146609447,146611481,146609412,146608622,146613061,146609768,146608586,146608159,146608928,146609761,146613274,146610714,146609044,146612070,146609061,146610302,146608275,146608582,146608850,146611518,146611621,146613020,146609135,146608688,146613828,146613848,146608101,146607956,146608799,146607977,146613679,146608980,146609298,146607867,146609726,146609459,146612646,146608002,146609065,146614139,146612027,146609803,146609284,146609698,146610243,146609058,146608462,146611969,146609494,146611335,146609384,146610275,146611874,146608592,146611085,146609519,146608150,146609507,146611151,146609856,146608245,146608481,146608496,146610006,146608330,146607879,146613709,146611707,146607985,146608812,146608720,146613981,146609821,146609870,146612923,146614008,146609811,146613485,146609376,146613117,146610043,146611328,146608962,146609865,146610129,146612330,146609250,146608258,146609229,146609348,146608752,146609052,146607952,146609026,146614099,146609542,146611932,146609835,146608865,146609921,146609582,146608659,146613194,146610112,146609603,146610324,146610011,146608939,146608135,146608166,146608655,146610168,146609955,146610745,146608440,146608441,146612644,146611131,146609461,146609115,146609391,146609772,146609839,146609424,146608741,146611484"
44660,"146627021,146627428,146630016,146630598,146630615,146629634,146628434,146627768,146629866,146628555,146625761,146627725,146625060,146628811,146628244,146629540,146630308,146627039,146630118,146626698,146630019,146629316,146630242,146624902,146629240,146626907,146628814,146628357,146629917,146629920,146630434,146629851,146629392,146626761,146625517,146630386,146624763,146625467,146628275,146630136,146630291,146629108,146630353,146628514,146624929,146628599,146630383,146630317,146629728,146627869,146626980,146625003,146629874,146625168,146628481,146629298,146630140,146630075,146630121,146627680,146628557,146628978,146628456,146628708,146628513,146630596,146628401,146628914,146626175,146627545,146630488,146628267,146629295,146625658,146629087,146624657,146626354,146625663,146628751,146629273,146626908,146630349,146627223,146625556,146627360,146628612,146628953,146628342,146630320,146627612,146629097,146630012,146627361,146629090,146625533,146625137,146628269,146629539,146624830,146628799,146628556,146627596,146627894,146629446,146630323,146627372,146626168,146628322,146629474,146630284,146629658,146628030,146628437,146629364,146627524,146626314,146630332,146626943,146629301,146628651,146628982,146627942,146630203,146630132,146628386,146625686,146627627,146626934,146630250,146628747,146627464,146624542,146628675,146630306,146630511,146625248,146625169,146628260,146630084,146625661,146630124,146630534,146627831,146625911,146626176,146629913,146630223,146630507,146630456,146625254,146629466,146630208,146627996,146630046,146626014,146625787,146626594,146630237,146624817,146628721,146629358,146629594,146629972,146629676,146629394,146630590,146630440,146625936,146628519,146625566,146628896,146627622,146629013,146630232,146625186,146629186,146628524,146628586,146629906,146626167,146626126,146625975,146628864"
44665,"146645531,146647182,146646136,146647826,146646632,146644200,146646182,146646749,146645744,146642691,146643056,146647496,146645681,146647438,146643509,146641880,146643399,146643990,146643782,146643686,146645475,146640648,146647116,146646988,146643679,146643047,146641183,146645659,146646817,146643308,146641189,146645404,146647737,146643904,146642439,146645569,146647337,146640761,146642663,146647459,146641966,146640584,146642019,146647864,146641371,146645862,146642765,146644249,146646592,146643054,146641596,146642532,146643476,146647616,146645366,146643117,146647713,146646829,146641711,146645256,146647467,146642458,146641809,146646465,146640785,146642849,146641612,146647630,146641662,146646611,146641212,146646054,146647513,146647745,146643433,146642690,146645679,146646370,146645724,146646138,146640899,146640701,146643323,146643415,146642484,146644308,146644693,146645398,146646885,146641599,146641535,146641427,146642723,146646605,146646714,146640952,146640685,146644603,146642884,146645040,146645706,146642167,146643457,146642189,146640586,146641325,146641491,146645141,146645127,146646488,146641950,146641592,146644816,146643231,146647628,146644912,146646930,146641689,146646163,146643153,146644302"
44670,"146657988,146663226,146659980,146662134,146659659,146659588,146661623,146663135,146657961,146663409,146661329,146660442,146659667,146659561,146658322,146660221,146657868,146660265,146658695,146660171,146657955,146659289,146663276,146658331,146659095,146660896,146657745,146658511,146660987,146661016,146658898,146663514,146659025,146657902,146660057,146658916,146660692,146659391,146658899,146658785,146660889,146659091,146662507,146663252,146658212,146659016,146658779,146659388,146663375,146658719,146658118,146659884,146662675,146658663,146659428,146660921,146660025,146661684,146660864,146659225,146659742,146659345,146659673,146662111,146658339,146661283,146658781,146658942,146658644,146659898,146663377,146659536,146662733,146658408,146662485,146659829,146658010,146660861,146658499,146658217,146661919,146657692,146659317,146658193,146662261,146659589,146660377,146661835,146659064,146658925,146663026,146658376,146659703,146657626,146659841,146659169,146659013,146662771,146662422,146658534,146659392,146661575,146658458,146659376,146658503,146659274,146661817,146659171,146663105,146660494,146658995,146658222,146659990,146662475,146658269,146658132,146661519,146661771,146657764,146659040,146660028,146661062,146662797,146659192,146659492,146661665,146658278,146662390,146658926,146660793,146657900,146662695,146657622,146659631,146659937,146661458,146659291,146662070,146659583,146658022,146658586,146659292,146659330,146658085,146659108,146659269,146659558,146661813,146661271,146662082,146659699,146660010,146659401,146662702,146658168,146657968,146657649,146659057,146658935,146659060,146658346,146660039,146659299,146658531,146658919,146659102,146659910,146659098,146660152,146657998,146657842,146658125,146657909,146658844,146662336,146658507,146658453,146659916,146659249,146658206,146661012,146657928"
44675,"146676685,146679022,146678484,146677655,146678262,146675494,146675013,146675134,146678512,146677618,146679144,146678876,146677575,146678546,146677891,146675797,146679415,146677568,146677560,146679297,146677452,146678248,146676163,146679157,146674455,146678636,146676008,146677735,146679168,146674473,146675326,146679547,146677602,146678965,146675588,146675195,146676312,146677818,146675284,146676924,146677195,146677860,146677307,146677598,146678206,146678770,146678809,146674137,146676947,146676000,146678547,146676089,146677572,146674003,146679436,146679066,146678270,146677304,146678720,146677009,146676092,146677479,146674923,146677698,146677406,146675082,146678580,146679193,146678330,146678125,146674578,146678350,146678846,146678958,146674503,146678910,146678239,146676247,146676518,146678258,146677840,146678648,146678402,146678271,146678269,146674916,146675465,146675044,146677974,146675095,146679323,146679502,146678450,146677772,146676582,146678954,146674387,146675177,146676927,146676428,146678476,146678080,146679088,146677372,146678560,146675981,146679162,146677835,146675320,146673653,146675928,146676528,146677293,146678848,146677093,146673783,146675615,146678659,146677695,146673619,146675152,146678226,146677730,146678884,146679029,146678327,146678020,146673612,146677306,146677438,146679129,146673679,146677869,146677401,146674964,146677346,146675021,146677277,146677496,146677531,146677445,146673875,146677995,146677912,146679155,146676658,146676764,146676131,146679541,146678105,146677308,146674064,146679073,146677703,146674369,146673834,146674484,146675369,146678646,146676046,146678177,146676341,146679068,146675426,146675102,146675522,146677953,146679014,146677830,146677497,146678994,146677488,146679422,146676969,146674306,146677614,146679325,146679030"
44680,"146693735,146691721,146690862,146693510,146692188,146695314,146694796,146689797,146693790,146691717,146694172,146695114,146695198,146689336,146689936,146690545,146691826,146692201,146692050,146689623,146692309,146689921,146690138,146693427,146692544,146692034,146691902,146692600,146692516,146691944,146694189,146693586,146693442,146694575,146693816,146695527,146694422,146689252,146692090,146690309,146694097,146694595,146690243,146692401,146689061,146690308,146693649,146693954,146691304,146691748,146690143,146691977,146693453,146691270,146690302,146694811,146688965,146694645,146690724,146690511,146692712,146694367,146692207,146693515,146689920,146693025,146694693,146693353,146691130,146695100,146694399,146692616,146692760,146690876,146694392,146690669,146694336,146693766,146695180,146694387,146695590,146692120,146695818,146690505,146691855,146695710,146689810,146691243,146691797,146688844,146689772,146695434,146690766,146688976,146695168,146694279,146689041,146690372,146694551,146694003,146690281,146695219,146691439,146693937,146694229,146693252,146690864,146695772,146690997,146693578,146689733,146692927,146689100,146694199,146693724,146693004,146693629"
44685,"146708178,146709293,146706868,146705010,146706442,146704948,146707200,146706962,146705211,146705919,146708131,146705984,146705422,146705033,146705497,146706256,146710300,146705124,146709667,146707094,146709694,146705128,146705598,146705791,146705977,146708354,146709199,146707525,146705172,146709194,146706997,146709057,146709237,146705461,146706325,146706142,146709224,146705999,146705174,146706158,146709644,146709755,146705185,146706825,146706911,146708417,146708218,146706342,146705055,146705131,146706819,146708348,146707587,146707872,146706120,146707645,146706648,146705311,146710003,146708414,146706620,146705789,146706788,146710258,146706797,146705692,146704974,146709110,146709658,146710636,146708108,146708595,146707741,146706505,146707144,146705875,146706383,146706716,146709554,146706591,146709850,146706972,146709771,146708099,146707423,146709070,146707237,146705107,146709169,146704963,146706703,146705591,146707167,146710196,146707128,146706007,146705685,146705962,146710400,146706975,146706277,146705527,146708873,146705538,146704954,146706341,146705418,146706091,146709472,146706818,146708140,146706374,146705332,146707575,146705237,146706642,146709188,146706019,146705892,146710469,146706772,146705465,146706923,146704984,146705288,146709326,146706198,146709770,146706477,146709944,146704972,146705580,146707431,146705960,146705099,146708578,146709692,146706511,146710684,146706683,146705417,146705224,146705448,146705265,146707716,146707892,146706530,146706075,146705220,146705672,146706435,146707157,146705588,146705431,146705698,146707012,146705426,146706121,146708236,146706668,146705105,146709325,146709716,146706990,146705441,146706399,146710195,146704970,146705370,146705205,146706045,146706373,146706884,146708803,146708136"
44690,"146725671,146722993,146724675,146722055,146725467,146724283,146725324,146725367,146722026,146725631,146721961,146725110,146723911,146721023,146723705,146725908,146725457,146724210,146721448,146725781,146722339,146721263,146725134,146721065,146724242,146724820,146721513,146723821,146724604,146722324,146725379,146725002,146724614,146724804,146723180,146724061,146725227,146721895,146724306,146724099,146725148,146721486,146725089,146721462,146724496,146724671,146725989,146721351,146726083,146724028,146724958,146721398,146725099,146725278,146722646,146725356,146726061,146725233,146723026,146725603,146726077,146725048,146720455,146723015,146724356,146725917,146726165,146725723,146725095,146725573,146721861,146723190,146724214,146726180,146724689,146723011,146724139,146726030,146725419,146725875,146722437,146725011,146724876,146723096,146726123,146723112,146726041,146725977,146721091,146724310,146724533,146723341,146725849,146725216,146721739,146725390,146724377,146725271,146720915,146720277,146724279,146724397,146723909,146725597,146724553,146723872,146724592,146721475,146722516,146725458,146724430,146724464,146720280,146723896,146723805,146723845,146723826,146726195,146722716,146725720,146724428,146723372,146721535,146725119,146724475,146724267,146726205,146725750,146725992,146722989,146723894,146725027,146725018,146724187,146725125,146724991,146721408,146721729,146720985,146724544,146723995,146720494,146724813,146725807,146720572,146724581,146724612,146725796,146724558,146725548,146720764,146720976,146723167,146723817,146721052,146725179,146721496,146725717,146725285,146723834,146724043,146725497,146721511,146725280,146723935,146725549,146720428,146721069,146725258,146725782,146723306,146724499,146722029,146723110,146720938,146725546,146725872,146724114,146724290,146725418,146725183,146721943"
44695,"146742630,146742409,146740233,146739083,146738028,146740940,146743387,146740672,146742209,146743821,146741923,146737655,146737691,146741200,146739553,146742364,146743034,146742362,146737129,146741982,146743336,146740848,146736952,146741552,146741146,146740045,146740410,146742217,146741489,146742786,146739862,146743152,146738508,146737085,146740787,146741429,146737630,146737922,146741633,146739572,146738674,146741189,146738104,146739645,146741184,146736955,146741568,146739543,146739179,146743840,146743017,146737989,146742216,146736446,146738304,146741536,146739498,146736512,146743165,146743771,146738830,146743219,146737062,146742166,146740559,146743281,146736494,146736669,146739901,146740872,146743873,146737261,146738709,146738092,146739883,146739046,146741395,146737430,146740092,146742220,146741572,146742941,146741670,146743422,146737461,146738314,146743690,146743148,146740269,146740898,146741687,146736817,146743090,146743105,146738641,146737428,146743855,146741735,146741413,146740091,146741514,146743500,146737153,146737179,146742085,146741364,146738166,146737824,146741485,146742875,146741693,146738895,146742432,146740562,146739324,146740780,146743575,146743205,146739848,146741994,146737152,146743688,146739010,146743768,146738615,146738993,146737339,146739222,146737795"
44700,"146757384,146754930,146756588,146755673,146756018,146758082,146754561,146756229,146755223,146757466,146754988,146757226,146754844,146756450,146754569,146756594,146758785,146754625,146755414,146756651,146756675,146758525,146755495,146759077,146758635,146755210,146756139,146760413,146759654,146755085,146758959,146760261,146757359,146760193,146756240,146754432,146756610,146754797,146759765,146755209,146755581,146756158,146755807,146754734,146759774,146756801,146758148,146756342,146756634,146756227,146756043,146755974,146756363,146756666,146758403,146756325,146755796,146758722,146760082,146756679,146756626,146756694,146755051,146758860,146755028,146755148,146756115,146755406,146756242,146755381,146759823,146756601,146754608,146759537,146754877,146755319,146756592,146758979,146754435,146757743,146757554,146754836,146754893,146756777,146755187,146755447,146754672,146755782,146754705,146759902,146756664,146759359,146755123,146759001,146759328,146757939,146754972,146757410,146759996,146759600,146755679,146760103,146759010,146754947,146756054,146756251,146756359,146760154,146756333,146754912,146759180,146756233,146756265,146757438,146755767,146756703,146756828,146755057,146755822,146754322,146759345,146757033,146757718,146755591,146758215,146759807,146755964,146759300,146754662,146755566,146757073,146758819,146758926,146756427,146759919,146755986,146757514,146754557,146754426,146755486,146756633,146757239,146758790,146756204,146755456,146756505,146759059,146758112,146757945,146754718,146758214,146758750,146755260,146757908,146755926,146756143,146754539,146759100,146755715,146756162,146756445,146755173,146760409,146754747,146755971,146756799,146755639,146755413,146755755,146755664,146756805,146758968,146756984,146757860,146756188,146757786,146759047,146756454,146758307,146759285,146754851,146755593,146756770,146755227,146759480,146755943,146755033,146754901,146759061"
44705,"146773812,146775714,146773641,146775919,146773025,146774265,146773633,146776273,146775115,146775665,146776052,146775425,146772164,146774358,146775654,146774517,146775138,146775472,146774787,146773331,146776137,146774442,146775311,146771117,146776046,146775273,146773725,146776370,146775038,146776062,146775387,146773170,146774993,146774650,146775883,146773201,146775393,146775495,146775608,146772305,146774867,146775208,146773736,146772754,146775910,146770359,146774679,146776134,146772954,146775216,146776057,146776367,146774245,146774322,146775854,146773749,146776242,146775407,146774673,146770809,146774661,146773559,146775939,146775920,146774876,146774406,146776241,146773451,146774200,146773157,146773460,146773319,146774963,146771673,146774851,146776091,146775282,146774682,146775330,146776207,146776022,146775681,146775562,146775602,146776089,146775169,146776350,146771343,146776194,146774749,146774399,146774295,146775545,146771064,146771432,146774187,146774798,146775725,146773787,146774393,146774722,146772678,146771339,146771335,146774493,146772263,146772503,146774378,146776168,146771633,146774030,146773715,146774355,146774743,146774744,146770644,146775192,146776223,146774506,146775032,146774054,146772581,146771373,146774179,146775711,146775074,146774281,146771053,146775908,146770772,146774429,146771311,146774062,146774719,146770683,146770810,146770543,146775102,146772495,146775850,146776039,146775879,146775193,146775737,146775523,146770541,146774757,146775719,146775463,146774351,146775940,146770742,146774566,146773342,146775082,146774172,146774816,146772443,146770417,146773731,146776246,146774957,146774293,146772491,146776201,146775086,146770312,146772009,146775740,146773247,146774435,146775017,146775712,146774155,146774468,146771540,146776333,146776020,146775809,146774012,146775864,146774926"
44710,"146790133,146790596,146791744,146788542,146786969,146789903,146786874,146792969,146788973,146789844,146787499,146791000,146790193,146791879,146788444,146790784,146786841,146787908,146793058,146791875,146786894,146791788,146792342,146787809,146790310,146792432,146793216,146790441,146789179,146786972,146786420,146792525,146786756,146786296,146788156,146788159,146786431,146787748,146790135,146789794,146786380,146789121,146792944,146787254,146786637,146791266,146786850,146792444,146792421,146790345,146792886,146792803,146790539,146789862,146791866,146788729,146790314,146789773,146792724,146792983,146786269,146790609,146791351,146790538,146787084,146789003,146787974,146793362,146787855,146788777,146792007,146787467,146792114,146791577,146786137,146788474,146788972,146790409,146793050,146788610,146787863,146791475,146791526,146792532,146792425,146790467,146790100,146790755,146791828,146791654,146793242,146789275,146788759,146792204,146787685,146791759,146786265,146789857,146787299,146793392,146791311,146787436,146791686,146789669,146789561,146786658,146786981,146793243,146786964,146787947,146792112,146791679,146793450,146787272,146786717,146791195,146788763,146789720,146787112,146788246,146793330,146787920,146789919,146787322"
44715,"146805898,146804325,146808965,146805886,146804981,146807369,146804096,146809061,146804719,146804454,146804429,146803850,146803399,146805478,146806054,146805405,146809010,146804481,146805887,146803461,146808193,146807941,146805440,146804453,146805527,146807475,146804331,146809566,146805351,146806863,146803940,146803353,146803505,146804972,146805766,146803443,146804782,146805431,146807077,146807802,146803878,146805483,146804527,146804798,146805260,146805830,146805212,146807071,146804345,146809066,146806913,146805382,146805346,146803381,146805095,146808420,146803890,146805331,146806838,146803559,146808215,146809753,146805169,146803490,146808383,146808656,146806873,146805181,146804642,146803827,146804084,146803762,146805545,146807257,146805802,146805435,146805799,146809168,146804034,146805805,146805561,146807336,146804685,146804860,146804546,146804227,146804385,146805234,146804678,146809151,146805597,146806744,146808503,146804785,146805223,146809496,146808788,146809556,146808557,146806594,146807236,146803963,146806856,146804601,146808744,146808552,146807863,146804248,146803686,146804525,146807256,146806758,146809216,146807963,146804662,146808761,146803801,146804322,146805226,146807544,146809537,146803742,146805794,146805026,146804976,146808545,146805263,146807396,146806141,146803419,146805562,146803581,146805697,146805158,146808173,146806325,146805271,146804595,146806431,146805645,146808463,146804845,146807488,146805627,146803926,146805853,146804874,146804028,146804715,146809226,146804025,146806328,146805430,146807132,146807003,146805674,146807546,146807862,146804061,146809294,146807173,146805658,146804067,146807793,146805126,146803470,146807057,146808811,146807978,146808700,146808189,146805718,146805870,146804990,146805166,146804550,146806701,146803722,146803522,146803395,146805535,146809282,146805638,146803361,146807267,146804706,146804380,146804681,146803520,146808145,146806233,146809697,146806180,146804945"
44720,"146824669,146825759,146824686,146826310,146825651,146826298,146826020,146822946,146825615,146826108,146822216,146824552,146825152,146825637,146826302,146826187,146823846,146825791,146825012,146825041,146820368,146823973,146823880,146821459,146823819,146823597,146825373,146825968,146823397,146821015,146823978,146821995,146820759,146822304,146824482,146824747,146826015,146822053,146825959,146824418,146824856,146820426,146822542,146821660,146825339,146822270,146825795,146822454,146823872,146824749,146821878,146821251,146821926,146825708,146823677,146826303,146821949,146823864,146821560,146822668,146825969,146820649,146821303,146825146,146824763,146823702,146820724,146824607,146825290,146826032,146820592,146824127,146825274,146823478,146823843,146821374,146825438,146825106,146820084,146826188,146823251,146823418,146823471,146825338,146825864,146825051,146825742,146825075,146825704,146820469,146822198,146821853,146825427,146825878,146824760,146825145,146823765,146823056,146820696,146824897,146823902,146825238,146824858,146824262,146823884,146825645,146820130,146826135,146824408,146824596,146821026,146825164,146824608,146824136,146824890,146825357,146824009,146820698,146824477,146825321,146825903,146824031,146821461,146823066,146822337,146824370,146822406,146823963,146823389,146825677,146821220,146824327,146825398,146826244,146822114,146826000,146821309,146822933,146824672,146824390,146824535,146825000,146824275,146824895,146825540,146823696,146824461,146824529,146824944,146821594,146824462,146825941,146825575,146822947,146824733,146825097,146824753,146824826,146822165,146824913,146825526,146824823,146820358,146824649,146820262,146820489,146824271,146819957,146824305,146825679,146825529,146825790,146825883,146826048,146822631,146824102,146826256,146822467,146826052,146820263,146825703,146821854,146825996,146825975,146822643,146825693,146825853,146823280,146823856,146825490,146824756,146823283,146825118,146825362,146822401,146820108"
44725,"146842322,146842809,146838911,146843502,146843882,146839331,146839397,146842540,146839472,146840257,146842098,146842753,146842805,146837703,146839018,146837779,146841028,146843618,146842616,146838877,146843983,146843033,146841096,146840774,146841775,146837502,146837174,146839342,146843331,146838864,146838559,146837724,146843145,146841376,146840223,146838009,146840441,146839386,146841274,146838853,146841290,146842173,146839025,146843219,146841064,146842786,146840561,146841213,146839292,146838434,146837221,146843074,146841023,146840158,146841180,146837034,146841967,146842253,146838850,146843843,146837769,146836917,146842631,146838159,146843254,146838995,146842854,146843016,146839062,146843751,146842192,146837127,146843411,146843748,146838191,146839892,146840570,146842306,146839923,146840227,146840762,146840696,146840374,146837060,146841875,146836812,146838185,146836928,146842927,146838956,146838099,146839503,146840160,146841342,146838679,146842164,146837989,146843211,146843903,146838677,146843936,146841105,146842467,146843018,146840358,146843037,146841314,146840276,146837802,146837944,146842478,146840744,146843313,146837467,146842380,146843766,146840112,146843963,146843180,146842179,146839657,146840954,146842918,146843332,146840164"
44730,"146856742,146855644,146855859,146854709,146856190,146854937,146854084,146854309,146854138,146855496,146854767,146854519,146856013,146854875,146857830,146855936,146858662,146854031,146855011,146855040,146853966,146856281,146858403,146853853,146855335,146854725,146855824,146854739,146855164,146855764,146856161,146854547,146854293,146854484,146857503,146856305,146855685,146856991,146855034,146855178,146856066,146854399,146859799,146856236,146856497,146857887,146858911,146854190,146853880,146859908,146854677,146855172,146855739,146854346,146858116,146854276,146858715,146859302,146857856,146857915,146854624,146858504,146853913,146854144,146855828,146857802,146854070,146859746,146855510,146857727,146856500,146854049,146853815,146854565,146854944,146855110,146856201,146854123,146856216,146857313,146857599,146854926,146854306,146853986,146858924,146855356,146854392,146854367,146855904,146856981,146857644,146855849,146854264,146855192,146854485,146855094,146858097,146857285,146854620,146857333,146854622,146856686,146859787,146857343,146854925,146857256,146854065,146856151,146855009,146854297,146854248,146854252,146854790,146856148,146859231,146855958,146854352,146856759,146854002,146857773,146855471,146859570,146856168,146859406,146853932,146855201,146854540,146855290,146856477,146859801,146859187,146856110,146855892,146854363,146854974,146854429,146854798,146854394,146854334,146854837,146856628,146854701,146855787,146854878,146855701,146858369,146854328,146854462,146856914,146855771,146855453,146855622,146855219,146858443,146854872,146857738,146855096,146856198,146854516,146858553,146856214,146858378,146854870,146854787,146854337,146854626,146854201,146855682,146854514,146855840,146853941,146859245,146856912,146858856,146856055,146854883,146856734,146854431,146853934,146855118,146857497,146856691,146859388,146856389,146855030,146853963,146859146,146856000,146859642"
44735,"146875230,146875360,146876711,146874143,146872286,146872241,146876103,146874268,146876460,146876756,146871084,146874027,146874803,146876275,146875033,146873252,146875958,146876563,146875763,146876568,146873393,146874535,146870339,146875936,146874897,146876462,146872190,146874294,146874990,146871648,146876247,146874718,146875438,146875830,146874354,146875959,146874277,146875029,146874572,146875845,146873764,146876283,146874142,146873077,146875939,146875429,146875662,146875121,146876310,146874513,146876063,146873536,146875857,146874609,146871525,146875479,146875690,146875790,146874126,146874466,146872472,146875982,146870675,146875268,146874264,146875368,146876753,146870965,146876251,146871861,146874883,146874345,146875579,146873992,146874098,146871211,146876039,146871204,146873975,146873924,146874978,146874213,146876291,146871732,146873674,146876193,146873555,146874771,146874942,146875303,146874285,146874637,146875276,146874353,146876454,146875324,146874759,146871678,146874733,146876530,146874469,146874739,146875605,146875512,146875767,146875011,146874921,146874496,146875541,146876632,146876091,146873869,146876521,146874498,146875073,146874444,146874896,146872224,146876470,146872183,146872076,146876234,146874862,146874971,146875220,146873729,146872165,146874372,146875493,146870636,146876214,146872920,146875191,146874619,146876285,146875164,146872855,146870749,146875949,146873175,146874208,146875877,146875075,146874212,146876052,146872639,146873162,146875657,146874577,146871539,146875065,146875430,146875381,146876335,146874366,146876798,146876046,146875468,146874864,146870980,146875340,146872043,146875031,146875838,146874240,146871144,146874755,146874202,146874939,146872101,146875307,146876141,146875209,146875103,146875492,146873448,146875423,146874960,146874374,146876411,146873135,146873056,146874640,146871647,146874797,146874783,146876695,146872393,146870848,146870364,146872263,146875450,146874725"
44740,"146893022,146894638,146894038,146891806,146891139,146887924,146890589,146890296,146894667,146892304,146887673,146894231,146892555,146889148,146894486,146888792,146887543,146889196,146894075,146892449,146893169,146890307,146889018,146887608,146891550,146887512,146894586,146888752,146892642,146889108,146892063,146889137,146891860,146888796,146890260,146893467,146888259,146893867,146893154,146888380,146893058,146891765,146888988,146887450,146893979,146892041,146890600,146889432,146887370,146892136,146893617,146892235,146893880,146888625,146888652,146892747,146891111,146888252,146892740,146890821,146894426,146888165,146890712,146888224,146888183,146889561,146893270,146888668,146888845,146890347,146894396,146893074,146887267,146892260,146891197,146892778,146892570,146889113,146888348,146889426,146889309,146892674,146890280,146888879,146891268,146888891,146893476,146888530,146890192,146887977,146891422,146889776,146889048,146889866,146887858,146892704,146893747,146887622,146888940,146894713,146892511,146894156,146888838,146892177,146888202,146890755,146891399,146889059,146888709,146890895,146887647,146891065,146888101,146893283,146892211,146894385,146892208,146888685,146890578,146889992,146888888,146888700,146892728,146892864,146888552,146892018"
44745,"146905924,146904350,146908426,146907581,146906595,146905549,146905851,146905013,146904418,146907897,146907152,146906306,146906521,146906592,146907185,146904674,146906106,146906593,146904660,146904404,146905480,146904932,146907452,146906555,146906370,146906613,146906393,146905282,146905494,146909475,146905392,146905236,146905933,146906407,146906356,146906600,146909518,146907220,146905170,146909506,146905757,146910072,146905091,146907010,146909155,146905871,146904983,146905778,146907317,146906283,146908841,146909045,146905033,146904456,146905911,146906157,146904427,146904747,146907230,146904867,146907544,146909285,146905142,146905477,146907816,146905447,146907780,146908672,146906832,146910118,146906156,146906347,146905864,146904945,146906486,146908465,146905876,146904736,146905329,146905497,146905894,146904380,146905214,146904946,146906078,146904843,146906253,146904502,146908096,146909250,146905340,146905469,146907579,146905343,146908336,146905274,146908919,146904965,146905285,146905673,146905443,146909672,146908865,146909236,146909515,146905063,146909227,146904907,146904623,146906796,146904341,146906838,146906539,146906499,146905592,146904490,146905467,146904886,146908526,146904775,146904926,146909616,146906049,146909738,146906517,146908548,146905381,146904508,146906117,146906543,146906286,146905550,146904636,146906533,146906077,146906643,146906079,146909727,146907370,146905515,146905269,146907088,146909720,146905890,146904813,146905423,146906302,146906093,146909016,146905038,146907225,146907507,146904791,146904948,146909231,146908074,146908326,146906373,146905411,146905942,146905948,146907305,146908556,146909840,146908767,146909357,146904939,146905787,146904448,146906610,146906028,146904869,146905574,146904894,146909158,146907749,146905475"
44750,"146922143,146924678,146920339,146924876,146925406,146925350,146924850,146924724,146921893,146925269,146923671,146925497,146924930,146924258,146924341,146921828,146925224,146923600,146922287,146922616,146922789,146923617,146923492,146924911,146920987,146924446,146924750,146924638,146922919,146924357,146923115,146924777,146924430,146923740,146924153,146925285,146924671,146924871,146922445,146923583,146920243,146925254,146925166,146920883,146925158,146923627,146923587,146925482,146924276,146923744,146924236,146924396,146923789,146925275,146923746,146923749,146923805,146920782,146920951,146925190,146923846,146922672,146925232,146924511,146924490,146925191,146922599,146920644,146923854,146922823,146923924,146925044,146923150,146923025,146921314,146922242,146923641,146923456,146924097,146924419,146924451,146923548,146920148,146922853,146922604,146923809,146923535,146920161,146923733,146922270,146924964,146921493,146924400,146925364,146925321,146924727,146923562,146924166,146923476,146920874,146924266,146923489,146921565,146924607,146925029,146924103,146923284,146924025,146921740,146925012,146924524,146923732,146925253,146924273,146920020,146924284,146923261,146922278,146922834,146925300,146924663,146923359,146922459,146924539,146921285,146924420,146922172,146922610,146924150,146920760,146924095,146921961,146924149,146924672,146924673,146921394,146924763,146925441,146923716,146921129,146925054,146923980,146923531,146925102,146923719,146924855,146921294,146924465,146924303,146923734,146921561,146925360,146923841,146921527,146924455,146921844,146925304,146920077,146921463,146925427,146923851,146925096,146925338,146924216,146920698"
