cycle,pedigree_IDs
44600,"146431371,146430760,146427685,146426743,146428209,146430598,146431029,146431660,146426541,146431642,146430854,146426684,146430969,146431503,146426416,146432229,146430588,146431622,146427335,146426700,146427737,146426738,146432017,146431171,146431571,146431232,146431601,146432179,146431894,146430883,146427450,146430778,146432084,146430734,146428021,146432150,146429814,146431273,146431523,146429939,146429237,146430301,146431959,146428522,146431530,146429824,146427837,146430896,146430182,146428040,146427579,146429944,146429529,146430143,146430247,146431704,146428064,146429974,146426595,146428097,146430277,146431655,146429439,146427159,146427275,146429109,146431540,146426950,146428071,146428532,146431591,146432145,146430530,146431559,146428836,146430009,146430810,146429137,146431560,146431978,146432211,146426934,146431558,146430748,146431298,146430290,146429325,146429572,146430524,146429162,146428529,146427062,146430341,146431672,146430344,146431222,146432226,146432299,146432260,146427067,146429875,146430089,146431806,146431198,146431674,146431847,146429214,146431756,146431383,146430955,146430710,146430713,146431024,146426626,146426632,146428729,146426449,146427648,146428837,146431972,146428499,146430610,146431058,146430749,146431254,146429859,146426941,146431380,146428575,146426638,146430591,146430345,146430964,146427802,146428350,146429950,146428195,146431012,146427196,146432098,146430552,146428203,146430173,146430838,146429213,146429112,146431982,146427775,146430529,146429045,146431054,146431007,146428406,146429926,146431250,146431815,146432243,146430265,146429816,146430820,146430535,146430414,146430798,146428817,146428240,146430197,146431834,146431852,146431111,146428323,146430869,146429879,146431719,146432167,146431593,146428444,146431886"
44605,"146443372,146447950,146448321,146445519,146442938,146442498,146441978,146447681,146448181,146446041,146443826,146442456,146442480,146448308,146445751,146448481,146442903,146447690,146448109,146444864,146448647,146443800,146444045,146443094,146445423,146442947,146446302,146442819,146442334,146441835,146443521,146444779,146443365,146444023,146443644,146446454,146443603,146441874,146445419,146444745,146442146,146448140,146445086,146444976,146447428,146446106,146447256,146441881,146447253,146445586,146443115,146444553,146446414,146443408,146444738,146442433,146448442,146444760,146445193,146442093,146443379,146446640,146443543,146442075,146444309,146446675,146444369,146445046,146446605,146446187,146446756,146448257,146447178,146447015,146442387,146444326,146445380,146441753,146442072,146447229,146448014,146444446,146441878,146446624,146446674,146442469,146446384,146447709,146443891,146447707,146447167,146448029,146442748,146447669,146447990,146448249,146442925,146446931,146445803,146442627,146446235,146447379,146444336,146447713,146445939,146443594,146443933,146446378,146447351,146446111,146441801,146448079,146444014,146444744,146444856,146441841,146443438,146444658,146447502,146442973,146445891,146445043"
44610,"146458661,146461596,146461334,146458509,146459498,146458333,146460278,146462854,146458526,146460451,146459520,146458762,146460614,146462477,146460652,146459348,146462074,146463125,146459545,146461012,146459289,146459561,146461200,146458671,146459378,146459047,146460488,146460412,146460168,146461505,146462211,146459591,146459478,146460540,146462684,146462588,146460598,146459012,146463408,146464265,146458327,146459014,146462089,146459381,146462571,146459962,146462998,146458568,146460633,146458278,146459668,146458663,146458847,146459201,146458605,146458563,146460873,146463143,146459003,146459754,146458916,146459656,146459790,146458280,146459673,146460143,146459518,146460536,146458706,146459193,146458541,146459172,146462540,146458448,146459438,146458685,146459782,146462839,146460337,146463595,146460526,146463942,146458287,146461354,146459601,146463814,146463647,146459767,146459671,146459436,146463563,146459004,146462004,146460197,146459475,146459104,146460679,146460684,146459434,146459476,146462596,146460004,146463008,146458570,146460917,146463468,146459963,146462374,146462648,146462340,146461161,146461878,146459028,146460091,146458758,146463576,146460040,146460431,146458580,146458826,146461082,146459105,146460384,146460215,146462866,146460224,146458672,146461127,146458566,146461827,146463710,146461863,146462494,146461886,146462962,146464361,146463040,146462923,146458619,146460552,146460111,146462554,146460482,146458343,146459550,146459222,146462283,146459402,146458489,146461101,146458805,146460623,146459364,146460438,146458305,146459664,146458493,146463966,146461848,146459528,146459696,146459613,146459307,146459992,146458384,146458684,146461379,146463182,146461937,146458778,146458452,146462783,146459342,146462388,146463772,146458798,146458301,146460696,146461150,146460032,146460744,146462715,146459030,146460033"
44615,"146477431,146477296,146478502,146477008,146479037,146476335,146477964,146479380,146479463,146478752,146479253,146480057,146475365,146479884,146474566,146477914,146480126,146480038,146479077,146476134,146476040,146479195,146480053,146476477,146476792,146480105,146479368,146478156,146475230,146475627,146476456,146475736,146476286,146476577,146479489,146475884,146478668,146479692,146479645,146475025,146478631,146479682,146479256,146478283,146477988,146478135,146479806,146479782,146476970,146475536,146479178,146478843,146479080,146477843,146477336,146478447,146479387,146477903,146474051,146475579,146479934,146479121,146479300,146479425,146474524,146476847,146479668,146480142,146480051,146477912,146476352,146475602,146475807,146480118,146475532,146476802,146476516,146477846,146480097,146479575,146479196,146478759,146478206,146478146,146478397,146478592,146474505,146474036,146474912,146474155,146479147,146478666,146475654,146476497,146478500,146474408,146474984,146477968,146479290,146477724,146476670,146479215,146480036,146479962,146478559,146479924,146477144,146478852,146479518,146479882,146476338,146478657,146478389,146476757,146475404,146479014,146474940,146479785,146479226,146479337,146479658,146474853,146477776,146478800,146478540,146475560,146477775,146477719,146478279,146478067,146476327,146475618,146473988,146479115,146479228,146478348,146479097,146478264,146480111,146475444,146479168,146477828,146475425,146475133,146477258,146476474,146478100,146479652,146476374,146479893,146478519,146475542,146478046,146476731,146477950,146478113,146480065,146479650,146478626,146477795,146477666,146479170,146474598,146476200,146476142,146478431,146480067,146478481,146477834,146474273,146478128,146479229,146478570,146474478,146474249,146479562,146477822,146477942,146479960,146479010,146478789,146479976,146475359,146474923,146479340,146479574,146477790,146475265,146478965,146479068,146474393,146479208"
44620,"146493449,146491205,146491965,146496360,146495573,146491278,146492451,146492077,146494948,146490936,146495540,146496435,146494499,146494536,146497973,146497332,146495527,146494952,146495487,146495582,146491338,146497272,146495449,146493456,146492256,146497582,146493690,146494309,146497586,146493301,146494340,146491830,146490814,146497163,146491024,146495631,146494171,146492162,146494276,146491843,146497166,146496589,146491345,146494494,146495247,146491753,146496356,146495854,146495140,146495056,146493016,146492670,146492606,146492557,146496713,146497999,146492313,146492400,146490891,146498024,146490694,146496790,146491852,146495188,146493676,146497138,146491139,146494496,146490676,146494683,146497348,146491471,146492738,146495348,146497970,146490655,146492768,146492572,146496093,146494250,146492909,146491745,146493413,146493028,146498091,146494700,146491950,146493231,146491862,146496610,146492835,146492081,146492759,146494817,146494514,146491739,146491957,146497784,146491646,146494841,146497217,146494155,146492844,146496944,146496949,146496466,146491635,146496436,146493847,146493027,146493369,146495234,146494393,146492671,146493670,146497979,146493705,146492632,146494810,146492619,146492496,146491382,146492968,146493781,146493937,146496550,146497635,146493665"
44625,"146508735,146508543,146514523,146508396,146514117,146511416,146511517,146510486,146510841,146509083,146510555,146510253,146510634,146508546,146508643,146510573,146512066,146508367,146509474,146510026,146509082,146510270,146508743,146510879,146508829,146512689,146510426,146509606,146513054,146514013,146514040,146510116,146510507,146509744,146510452,146514002,146510595,146511654,146510098,146509907,146512178,146510533,146509240,146508625,146509550,146508386,146509678,146509154,146511919,146512787,146508725,146509446,146509650,146508757,146509330,146509501,146510816,146510765,146514345,146509283,146510226,146511658,146509999,146513527,146513667,146512974,146509783,146512704,146509449,146509807,146513373,146509278,146510355,146508423,146512181,146510079,146514603,146512447,146512377,146509293,146510374,146510180,146509988,146511161,146509325,146512187,146512462,146514156,146510492,146509707,146509994,146511126,146511097,146513152,146512014,146510576,146510960,146509599,146508597,146509781,146511675,146510513,146508607,146510029,146508637,146508853,146510791,146509799,146510859,146509334,146510704,146510080,146509886,146508401,146514083,146510385,146509344,146510795,146510959,146508935,146513826,146512490,146510846,146509040,146509853,146513891,146510086,146513615,146511645,146509517,146508907,146511251,146509834,146509905,146509971,146508585,146512045,146510136,146508943,146508969,146512342,146509940,146510041,146513370,146511928,146510179,146511731,146509370,146509654,146509041,146508342,146509632,146509847,146509660,146512087,146511538,146509382,146510370,146514293,146512984,146511038,146508939,146510823,146509365,146509203,146510391,146512744,146508576,146511129,146512965,146512640,146508588,146509046,146510921,146514446,146513845,146508383,146513145,146510777,146508477,146510709,146510796,146510065,146512720,146509249,146509463,146513888,146510579,146514451,146509878"
44630,"146526734,146527186,146529009,146528999,146527457,146530101,146529614,146529205,146528907,146530080,146530744,146529959,146529495,146525340,146527799,146527878,146530638,146526783,146529283,146530006,146529114,146529138,146526888,146525572,146529086,146526138,146529031,146529788,146525576,146527548,146529313,146530201,146530055,146529612,146529282,146527574,146528759,146526308,146526886,146530706,146527399,146529447,146526666,146528772,146525551,146525728,146525405,146529477,146529812,146529575,146525593,146529327,146526329,146529713,146530199,146528867,146530092,146530157,146528437,146529932,146527903,146528297,146528329,146530745,146525323,146529305,146529214,146525617,146527517,146530737,146530192,146528166,146527880,146529117,146528018,146529415,146528783,146528964,146525014,146530195,146530578,146527451,146528375,146530630,146527348,146528434,146529697,146530551,146526431,146529735,146530774,146530181,146530352,146528704,146527089,146530424,146529336,146529474,146529328,146524781,146529674,146527886,146530082,146530327,146529770,146527827,146526485,146525216,146530770,146530064,146529215,146529886,146530357,146525520,146528866,146528746,146524909,146525977,146530430,146530175,146530566,146530755,146530388,146528979,146529974,146528815,146525298,146529208,146524694,146529217,146525251,146524645,146530494,146529920,146530800,146529274,146530584,146530492,146528881,146529368,146530604,146530382,146529212,146529391,146529522,146526230,146528483,146529866,146528479,146525211,146530627,146529010,146530324,146525125,146528489,146529967,146529683,146530258,146530732,146525939,146528598,146530565,146530065,146529562,146528531,146528411,146530795,146527194,146526782,146529062,146527099,146529846,146525612,146530475,146528296,146529689,146529750,146529669,146528922,146529906,146525901,146529019,146529659,146529465,146529636"
44635,"146547292,146542595,146544724,146541300,146547206,146546164,146540719,146546591,146544765,146541064,146542024,146543591,146542173,146546482,146542493,146544799,146547253,146543863,146541010,146544344,146541208,146547829,146543564,146545585,146543585,146546708,146541560,146540899,146546206,146543204,146542006,146540829,146544287,146541705,146544280,146545071,146540950,146544647,146547310,146541950,146540999,146545480,146546534,146545804,146541041,146544460,146541436,146547359,146542663,146543972,146542723,146543876,146542818,146545351,146547214,146546865,146545849,146543963,146542242,146547042,146544536,146545974,146542091,146542977,146543540,146544503,146542707,146541102,146542686,146546491,146542891,146541763,146544129,146545591,146543023,146541566,146542023,146544518,146541056,146545208,146542233,146542201,146541537,146544090,146544107,146543984,146543847,146547108,146544394,146547270,146546957,146545140,146542393,146541846,146544094,146540934,146545229,146547002,146541553,146546402,146541969,146544981,146547506,146544702,146541940,146540907,146544196,146542202,146543754,146544894,146547865,146544766,146541718,146542353,146546411,146542687,146541843,146543819,146547951,146542437"
44640,"146560385,146561457,146558845,146558040,146558978,146558423,146558914,146558412,146561499,146562130,146563281,146561417,146559506,146562069,146559690,146558019,146558826,146560237,146558677,146559100,146563089,146559095,146558362,146560834,146559221,146561038,146562193,146560215,146558052,146558008,146557587,146559728,146557705,146561605,146558327,146557863,146559486,146559103,146558709,146559586,146558401,146557708,146559565,146558694,146559732,146557491,146558616,146558360,146558985,146557562,146561572,146562911,146557964,146557586,146558921,146558813,146558688,146557969,146562690,146558881,146558124,146558434,146559546,146560165,146558216,146560288,146558962,146558628,146561293,146562480,146559893,146559176,146558197,146558827,146558514,146558278,146559434,146559220,146561154,146560693,146558457,146558029,146559135,146557767,146562042,146559407,146558378,146561392,146559151,146560062,146558707,146559939,146557892,146558155,146558501,146561708,146561266,146559047,146562821,146560108,146560398,146560867,146560115,146558273,146560384,146558717,146558054,146559207,146562444,146559633,146559711,146559737,146559132,146562054,146562107,146560277,146558787,146559261,146561564,146558083,146560487,146560118,146559036,146558419,146560120,146560119,146557936,146558366,146559767,146559449,146559828,146561751,146562326,146562144,146561681,146560728,146559271,146558595,146558854,146562040,146557577,146558852,146558793,146558749,146557832,146558410,146559133,146559067,146560193,146558017,146558970,146558859,146558486,146560832,146560885,146558430,146563127,146558548,146558281,146557772,146558944,146559181,146559292,146559234,146559339,146561456,146558053,146560863,146560705,146557628,146557572,146558499,146559296,146562243,146558024,146557729"
44645,"146574778,146577784,146578829,146576016,146573027,146578476,146575882,146578722,146577566,146576559,146578602,146574939,146573922,146578959,146577717,146576835,146578612,146573245,146576986,146576895,146573083,146578965,146578716,146575354,146574785,146576539,146575275,146576019,146577668,146576782,146578405,146577068,146578712,146576262,146577492,146574959,146578203,146577050,146578720,146578784,146576885,146576916,146576049,146578905,146578121,146576327,146577738,146577480,146578128,146574529,146576644,146575990,146577694,146574859,146577123,146577873,146578658,146573358,146574536,146573113,146576661,146578578,146572950,146573555,146575812,146574265,146573617,146577759,146573413,146578161,146577940,146578528,146577109,146578982,146574221,146573336,146577273,146576823,146576864,146577860,146577053,146575048,146578145,146573406,146578493,146574005,146575455,146576110,146575587,146577819,146578197,146577948,146576619,146577156,146574295,146577958,146575491,146578638,146574895,146577435,146576650,146576577,146574036,146575144,146576148,146577947,146577772,146578129,146576560,146576858,146577602,146575016,146578471,146577595,146576943,146576739,146578691,146578302,146578833,146574813,146576714,146576953,146577281,146577670,146576613,146577817,146573845,146573758,146575753,146579013,146573016,146575288,146578820,146578028,146576992,146577838,146576575,146576768,146578970,146578518,146575597,146578817,146574841,146576653,146575407,146579017,146573779,146574267,146578236,146577671,146574538,146577742,146577331,146574027,146576392,146577253,146576020,146577224,146575384,146577292,146578916,146576527,146576755,146576498,146573143,146576785,146576460,146573838,146575188,146577404,146577771,146574825,146578205,146576806,146577078,146578008,146574407,146577507,146577590,146576800,146578882,146578378,146578989,146576354,146578661,146573920,146575693,146578017,146577479,146577780"
